сколько_раз_спросили,как_написал_пациент,что_бот_отвечает_сейчас,какой_услуге_соответствует,синонимы_вписать_в_МИС
8,подготовиться фгдс,— не понимает —,,
8,антитела корь,— не понимает —,,
6,т4 свободный,— не понимает —,,
4,иппп,— не понимает —,,
4,липидный,— не понимает —,,
4,время свертывания,— не понимает —,,
4,посев зева,— не понимает —,,
3,проверить щитовидку,— не понимает —,,
3,щетовидку,— не понимает —,,
3,флору,— не понимает —,,
3,узи органов пищеварения,— не понимает —,,
3,кровь хгч,— не понимает —,,
3,алт аст,— не понимает —,,
3,тестостерон общий,— не понимает —,,
3,аллергию бытовая пыль,— не понимает —,,
3,коагулограмма,— не понимает —,,
3,кровь вены,— не понимает —,,
