сколько_раз,как_написал_пациент,похожее_в_каталоге,какой_услуге_соответствует,синонимы_вписать_в_МИС
2,коагулограмма,"""Гемостазиограмма (скрининг)""; Расширенная гемостазиограмма",,
1,иппп,— в каталоге нет —,,
1,тромбиновое время,"Протромбиновый индекс (по Квику), МНО, протром; Тромбиновое время",,
1,эластометрия печени,УЗИ молочных желез с регионарными лимфоузлами ; УЗИ мягких тканей с ЦДК и эластометрией,,
1,хламидиоз,Chlamydia pneumoniae IgA; Chlamydia pneumoniae IgG,,
1,тромбофилия,Генетический риск развития тромбофилии,,
1,гистология,Гистологическое исследование биопсийного (опер; Гистологическое исследование биопсийного (опер,,
2,гельминты / глисты,"Гельминты IgG(эхинококк, описторх, токсокара, ; Гельмо-скрин. Скрининговое ПЦР-исследование во",,
1,чек-ап организма,Ежегодный Чекап; Женский чекап Базовый,,
1,забор крови,Взятие крови без последующего исследования; Взятие крови из вены,,
1,проверить желудок,Биопсия при ФГДС (без стоимости исследования); Диагностический профиль перед проведением эндо,,
1,укол,"Анестезия инъекционная (инфильтрационная, пров; Введение лекарственного вещества в канал при э",,
1,хмс по осипову,"Анализ спектра органических кислот мочи методо; Андрогены и их метаболиты (8 показателей), рас",,
